,Time,Solar8000/HR
671,1344.39,88
672,1346.39,88
673,1348.39,88
674,1350.39,88
675,1352.39,88
676,1354.39,88
677,1356.39,89
678,1358.39,89
679,1360.39,89
680,1362.39,89
681,1364.39,89
682,1366.39,89
683,1368.39,89
684,1370.39,89
685,1372.39,89
686,1374.39,89
687,1376.39,89
688,1378.39,89
689,1380.39,89
690,1382.39,89
691,1384.39,89
692,1386.39,89
693,1388.4,90
694,1390.39,90
695,1392.39,90
696,1394.39,90
697,1396.39,90
698,1398.39,89
699,1400.39,89
700,1402.39,89
701,1404.39,89
702,1406.39,89
703,1408.39,89
704,1410.39,89
705,1412.39,89
706,1414.4,88
707,1416.4,88
708,1418.4,88
709,1420.4,89
710,1422.4,88
711,1424.4,88
712,1426.4,88
713,1428.4,88
714,1430.4,87
715,1432.4,88
716,1434.4,87
717,1436.4,88
718,1438.4,87
719,1440.4,87
720,1442.4,87
721,1444.4,87
722,1446.4,86
723,1448.4,86
724,1450.4,86
725,1452.4,86
726,1454.4,86
727,1456.4,86
728,1458.4,86
729,1460.4,86
730,1462.4,86
731,1464.4,86
732,1466.4,86
733,1468.4,86
734,1470.4,86
735,1472.4,86
736,1474.4,87
737,1476.4,87
738,1478.4,88
739,1480.4,88
740,1482.4,89
741,1484.4,89
742,1486.4,89
743,1488.4,90
744,1490.4,90
745,1492.4,90
746,1494.4,90
747,1496.4,90
748,1498.4,91
749,1500.4,91
750,1502.4,91
751,1504.4,92
752,1506.4,92
753,1508.4,92
754,1510.4,92
755,1512.4,92
756,1514.41,93
757,1516.41,93
758,1518.4,93
759,1520.41,93
760,1522.41,93
761,1524.41,93
762,1526.41,93
763,1528.41,93
764,1530.41,93
765,1532.41,94
766,1534.41,94
767,1536.41,94
768,1538.41,94
769,1540.41,94
770,1542.41,94
771,1544.41,93
772,1546.41,93
773,1548.41,93
774,1550.41,93
775,1552.41,92
776,1554.41,91
777,1556.41,92
778,1558.41,92
779,1560.41,92
780,1562.41,92
781,1564.41,92
782,1566.41,92
783,1568.42,92
784,1570.41,92
785,1572.41,92
786,1574.42,93
787,1576.42,93
788,1578.42,93
789,1580.42,93
790,1582.42,93
791,1584.42,92
792,1586.42,92
793,1588.42,92
794,1590.42,93
795,1592.42,93
796,1594.42,92
797,1596.42,92
798,1598.42,92
799,1600.42,93
800,1602.42,93
801,1604.42,93
802,1606.42,93
803,1608.42,93
804,1610.42,93
805,1612.42,93
806,1614.42,93
807,1616.42,93
